event_type,timestamp,callback_index,outdoor_temp_c,zone_temp_c,primary_zone,electricity_demand_w,interval_kwh,cumulative_kwh,action_json,reasoning,zone_temp_Core_ZN,zone_temp_Perimeter_ZN_1,zone_temp_Perimeter_ZN_2,zone_temp_Perimeter_ZN_3,zone_temp_Perimeter_ZN_4
sensor,1986-07-15 00:10,0,24.666666666666668,25.554475131134172,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,6.730769230769232e-13,,,25.554475131134172,25.93155778079934,26.108483315003383,25.8476216706724,26.088105084182853
sensor,1986-07-15 00:20,1,23.733333333333334,25.506271092839775,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,1.3461538461538463e-12,,,25.506271092839775,25.881607271806022,26.05947012562152,25.80138253713631,26.038725609320306
sensor,1986-07-15 00:30,2,22.8,25.44792049441235,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,2.0192307692307696e-12,,,25.44792049441235,25.821351152200936,26.000977728079217,25.745625015801192,25.979616632898875
sensor,1986-07-15 00:45,3,21.866666666666667,25.39521705249533,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,2.6923076923076926e-12,,,25.39521705249533,25.766921173431744,25.948017980487464,25.695357487727737,25.926063134438422
sensor,1986-07-15 00:55,4,20.933333333333334,25.323234394237307,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,3.3653846153846157e-12,,,25.323234394237307,25.693348194261958,25.876840111044473,25.627350380654224,25.853995084206566
sensor,1986-07-15 00:65,5,20.0,25.245546359387866,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,4.038461538461539e-12,,,25.245546359387866,25.613571950225452,25.799058399496392,25.55223194035719,25.775143131891397
sensor,1986-07-15 01:15,6,20.0,25.19793893397998,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,4.711538461538462e-12,,,25.19793893397998,25.564357024823508,25.75265830929831,25.506545676828168,25.72778434443829
sensor,1986-07-15 01:25,7,20.0,25.171542893878197,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,5.384615384615385e-12,,,25.171542893878197,25.533724734060126,25.72472485087654,25.480491996261822,25.69926937320134
sensor,1986-07-15 01:30,8,20.0,25.15124609328559,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,6.057692307692308e-12,,,25.15124609328559,25.50689676107008,25.699566164028074,25.457852856533407,25.673737395725787
sensor,1986-07-15 01:40,9,20.0,25.139549332353585,Core_ZN,4.038461538461539e-09,6.730769230769232e-13,6.730769230769231e-12,,,25.139549332353585,25.489213003790187,25.682090520758177,25.442586076045824,25.656290285639898
